PassengerId,Survived
496,0
649,0
279,1
32,0
256,0
299,0
610,0
319,1
485,0
368,0
705,0
347,0
197,0
536,0
311,1
15,1
351,0
146,0
615,0
804,0
145,0
709,0
779,0
271,0
475,0
320,0
520,0
142,0
881,0
643,0
286,0
459,0
201,0
56,0
478,0
633,0
819,0
884,0
667,0
318,1
588,0
694,0
539,0
687,0
231,0
102,0
657,0
312,1
809,0
263,0
741,0
98,0
751,0
567,1
840,0
656,0
253,0
543,0
820,0
302,0
61,0
568,0
497,0
767,0
9,1
891,0
797,0
849,0
531,1
888,0
317,1
713,0
35,0
78,0
677,0
727,0
28,0
31,0
203,0
182,0
769,0
490,0
313,1
765,0
398,0
628,0
381,0
484,0
517,0
506,0
816,0
878,0
194,0
524,0
635,0
532,0
248,0
267,0
695,0
682,0
684,1
250,0
716,0
176,0
252,0
280,0
400,0
639,0
729,0
613,0
772,0
357,0
839,0
565,0
391,0
636,0
143,0
701,0
562,1
441,0
644,0
6,1
726,0
823,0
104,0
488,0
523,0
268,0
414,0
151,0
502,0
495,0
785,0
114,0
546,0
38,0
215,0
41,0
237,0
659,0
343,0
413,0
512,0
655,0
597,0
294,1
419,0
433,0
300,0
159,0
63,0
80,0
504,0
232,0
390,0
620,0
363,0
571,0
265,0
645,0
385,0
763,0
514,0
86,0
353,0
76,0
632,0
396,0
295,0
501,0
223,0
2,1
426,0
761,0
781,0
838,0
216,0
834,0
373,0
