PassengerId,Survived
496,0
649,0
279,0
32,1
256,1
299,0
610,1
319,1
485,0
368,1
705,0
347,1
197,0
536,1
311,1
15,0
351,0
146,0
615,0
804,1
145,0
709,1
779,0
271,0
475,0
320,1
520,0
142,0
881,1
643,0
286,0
459,1
201,0
56,0
478,0
633,0
819,0
884,0
667,0
318,0
588,0
694,0
539,0
687,0
231,1
102,0
657,0
312,1
809,0
263,0
741,0
98,0
751,1
567,0
840,0
656,0
253,0
543,0
820,0
302,0
61,0
568,0
497,1
767,0
9,0
891,0
797,1
849,0
531,0
888,1
317,1
713,0
35,0
78,0
677,0
727,1
28,0
31,0
203,0
182,0
769,0
490,1
313,1
765,0
398,0
628,1
381,1
484,0
517,1
506,0
816,0
878,0
194,1
524,1
635,0
532,0
248,1
267,0
695,0
682,0
684,0
250,0
716,0
176,0
252,0
280,0
400,1
639,0
729,0
613,1
772,0
357,1
839,0
565,0
391,0
636,1
143,0
701,1
562,0
441,1
644,0
6,0
726,0
823,0
104,0
488,0
523,0
268,0
414,0
151,0
502,1
495,0
785,0
114,0
546,0
38,0
215,0
41,0
237,0
659,0
343,0
413,1
512,0
655,1
597,1
294,0
419,0
433,1
300,1
159,0
63,0
80,0
504,0
232,0
390,1
620,0
363,1
571,0
265,1
645,1
385,0
763,0
514,1
86,0
353,0
76,0
632,0
396,0
295,0
501,0
223,0
2,1
426,0
761,0
781,1
838,0
216,1
834,0
373,0
